cluster,predictor,value
1,prop_workers,1.2944299391781635
1,prop_0_14,-0.9130147769841218
1,prop_15_24,-0.15547016345493322
1,prop_25_34,1.6309521770614661
1,prop_35_44,1.4030641062945537
1,prop_45_54,0.29287298861619665
1,prop_55_64,-0.828836124714375
1,prop_gt65,-0.9881301831693917
1,prop_mot_bike,1.5096513798210547
1,prop_mot_bus,0.6662396959671848
1,prop_mot_car_driver,0.12298956343361703
1,prop_mot_car_passenger,-0.8227364590394023
1,prop_mot_foot,-0.0811005893946767
1,prop_mot_motorcycle,1.0093354135998844
1,prop_mot_rail,2.091916835558425
1,prop_mot_van,-0.9216076220687307
1,prop_ind_agri,-0.624703916807921
1,prop_ind_construction,-0.5460554623962804
1,prop_ind_edu_health,-0.5896553370382557
1,prop_ind_info_finance,2.5100694778264514
1,prop_ind_manufacturing,-0.15145488704605747
1,prop_ind_public,-0.035340218638180806
1,prop_ind_retail,-0.7216942874423151
1,prop_ind_service,-0.25888299975712564
1,prop_agri_workers,-0.4080900011892957
1,prop_employers,1.3573164518926903
1,prop_farmers,-0.5727890029008784
1,prop_higher_prof,1.9730582317998675
1,prop_lower_prof,0.9783875122794031
1,prop_manual_skiled,-0.8103414393926472
1,prop_non_manual,0.021592548361808298
1,prop_own_account,-1.0608840272676512
1,prop_semi_skilled,-0.7579104651244434
1,prop_loe_2ary,-1.832268103859037
1,prop_loe_3ary,1.9700783327293077
1,prop_jt_lt15,-1.3535314024180098
1,prop_jt_lt30,-0.25778748765061377
1,prop_jt_lt45,1.3354210908662547
1,prop_jt_lt60,1.9342563998131028
1,prop_jt_lt90,1.883919052320615
1,prop_jt_gt90,1.3995554552259255
1,prop_lh_630,-0.1599206394685388
1,prop_lh_700,0.5251981086614146
1,prop_lh_730,1.1247527194399196
1,prop_lh_800,1.166541593796322
1,prop_lh_830,0.3966183292822538
1,prop_lh_900,-0.5835022769576944
1,prop_lh_930,-0.49564043685832404
1,prop_occ_admin,0.9978772476180949
1,prop_occ_caring,-0.7790447051768481
1,prop_occ_elementary,-0.8743313879285374
1,prop_occ_factory,-0.7112439404807163
1,prop_occ_prof,1.7720337635026662
1,prop_occ_retail,-0.1607213531865712
1,prop_occ_senior,0.6136135846651581
1,prop_occ_service,-0.9274344755065108
1,prop_occ_tech,1.5473734452947114
1,prop_nat_ireland,-0.3224917796306106
1,prop_nat_uk,0.1128004472620154
1,prop_nat_other_eu,0.6292797285808466
1,prop_nat_poland,-0.24762578071257513
1,prop_nat_row,0.40051747817434047
2,prop_workers,-1.0257413887897646
2,prop_0_14,1.4007582725602072
2,prop_15_24,1.1260756775739846
2,prop_25_34,-0.8754273241085031
2,prop_35_44,-1.0988628897699555
2,prop_45_54,-1.2410077947942462
2,prop_55_64,-0.9950571198664951
2,prop_gt65,-0.31317709008611117
2,prop_mot_bike,-0.1629765195227776
2,prop_mot_bus,0.5836741857335277
2,prop_mot_car_driver,-1.1110465199212292
2,prop_mot_car_passenger,1.4167404727702633
2,prop_mot_foot,1.0008248714589465
2,prop_mot_motorcycle,-0.41443609677967047
2,prop_mot_rail,-0.2633173509864163
2,prop_mot_van,-0.7367808112276787
2,prop_ind_agri,-0.20892028892065284
2,prop_ind_construction,-0.37234093782853095
2,prop_ind_edu_health,1.264769563752509
2,prop_ind_info_finance,-0.3167795990549097
2,prop_ind_manufacturing,-0.34995731086701315
2,prop_ind_public,-0.11128216894611302
2,prop_ind_retail,-0.3866088886402218
2,prop_ind_service,0.06738901770688571
2,prop_agri_workers,-0.18092836436622023
2,prop_employers,0.08362821866186156
2,prop_farmers,-0.32329184907300074
2,prop_higher_prof,0.038390750172387474
2,prop_lower_prof,0.5559306970518488
2,prop_manual_skiled,-0.2690243383539777
2,prop_non_manual,-0.14274762409627567
2,prop_own_account,-0.08097296822707836
2,prop_semi_skilled,-0.18939928728517905
2,prop_loe_2ary,-0.5612640378928475
2,prop_loe_3ary,0.5308509450899669
2,prop_jt_lt15,0.7689584677968614
2,prop_jt_lt30,0.29874995614518934
2,prop_jt_lt45,-0.6681354640837984
2,prop_jt_lt60,-0.6225421938365007
2,prop_jt_lt90,-0.6936893151578284
2,prop_jt_gt90,-0.6450456345132738
2,prop_lh_630,-0.7257162768497011
2,prop_lh_700,-1.0034424019526917
2,prop_lh_730,-0.8052429129453154
2,prop_lh_800,-0.10432496484090722
2,prop_lh_830,1.3403186332164627
2,prop_lh_900,1.1777800112229573
2,prop_lh_930,-0.3170630611137075
2,prop_occ_admin,-0.5196789739055038
2,prop_occ_caring,0.13747654884665284
2,prop_occ_elementary,-0.5231362759638831
2,prop_occ_factory,-0.4394714417893755
2,prop_occ_prof,0.37476632859989956
2,prop_occ_retail,-0.32286765998502587
2,prop_occ_senior,-0.8265967192578104
2,prop_occ_service,-0.6194438339912746
2,prop_occ_tech,-0.5684336296102115
2,prop_nat_ireland,0.4166879400452835
2,prop_nat_uk,-0.47278780477433274
2,prop_nat_other_eu,-0.3211980686525634
2,prop_nat_poland,-0.19891867600494612
2,prop_nat_row,-0.20030780057628156
3,prop_workers,0.3253209383224585
3,prop_0_14,-0.5959563580964355
3,prop_15_24,0.4887139379927522
3,prop_25_34,1.252595464470175
3,prop_35_44,0.26033417270175535
3,prop_45_54,-0.29921526763535927
3,prop_55_64,-0.48890638739520426
3,prop_gt65,-0.545038236491033
3,prop_mot_bike,1.431955651695463
3,prop_mot_bus,1.158220057954734
3,prop_mot_car_driver,-0.6746532036489065
3,prop_mot_car_passenger,-0.784863802198658
3,prop_mot_foot,0.8001220481522353
